Primary Disability,Year,Enrolled Mid-Year,Left Mid-Year,Went to Del Val the Following Year,Went to Another School the Following Year,Likely Graduate
None,2014-2015,84,62,330,65,189
Autism,2014-2015,0,0,1,0,0
Emotional Disturbance,2014-2015,4,4,5,2,0
Gifted without Disability,2014-2015,0,2,3,0,0
Intellectual Disability,2014-2015,0,0,4,1,0
Other Health Impairment,2014-2015,3,0,8,0,0
Specific Learning Disability,2014-2015,10,5,60,8,3
Speech or Language Impairment,2014-2015,1,0,1,0,0
Visual Impairment including Blindness,2014-2015,0,1,0,0,0
Orthopedic Impairment,2014-2015,0,0,0,0,0
None,2015-2016,49,71,226,36,168
Autism,2015-2016,0,0,1,0,0
Emotional Disturbance,2015-2016,2,3,5,1,1
Gifted without Disability,2015-2016,0,0,3,0,2
Intellectual Disability,2015-2016,0,1,3,1,0
Other Health Impairment,2015-2016,1,1,6,1,3
Specific Learning Disability,2015-2016,5,14,35,4,29
Speech or Language Impairment,2015-2016,0,0,0,0,1
Visual Impairment including Blindness,2015-2016,0,0,0,0,0
Orthopedic Impairment,2015-2016,0,0,0,0,0
None,2016-2017,43,69,NA,NA,166
Autism,2016-2017,0,0,NA,NA,0
Emotional Disturbance,2016-2017,3,6,NA,NA,4
Gifted without Disability,2016-2017,0,1,NA,NA,6
Intellectual Disability,2016-2017,1,0,NA,NA,0
Other Health Impairment,2016-2017,2,3,NA,NA,2
Specific Learning Disability,2016-2017,5,18,NA,NA,24
Speech or Language Impairment,2016-2017,1,1,NA,NA,5
Visual Impairment including Blindness,2016-2017,0,0,NA,NA,0
Orthopedic Impairment,2016-2017,1,1,NA,NA,0
