CATEGORY,PRIMARY_DISABILITY,YEAR,TOTAL
Left Mid-Year,None,2014,62
Left Mid-Year,Autism,2014,0
Left Mid-Year,Emotional Disturbance,2014,4
Left Mid-Year,Gifted without Disability,2014,2
Left Mid-Year,Intellectual Disability,2014,0
Left Mid-Year,Other Health Impairment,2014,0
Left Mid-Year,Specific Learning Disability,2014,5
Left Mid-Year,Speech or Language Impairment,2014,0
Left Mid-Year,Visual Impairment including Blindness,2014,1
Left Mid-Year,Orthopedic Impairment,2014,0
Enrolled Mid-Year,None,2014,84
Enrolled Mid-Year,Autism,2014,0
Enrolled Mid-Year,Emotional Disturbance,2014,4
Enrolled Mid-Year,Gifted without Disability,2014,0
Enrolled Mid-Year,Intellectual Disability,2014,0
Enrolled Mid-Year,Other Health Impairment,2014,3
Enrolled Mid-Year,Specific Learning Disability,2014,10
Enrolled Mid-Year,Speech or Language Impairment,2014,1
Enrolled Mid-Year,Visual Impairment including Blindness,2014,0
Enrolled Mid-Year,Orthopedic Impairment,2014,0
Continued Enrollment the Following Year,None,2014,330
Continued Enrollment the Following Year,Autism,2014,1
Continued Enrollment the Following Year,Emotional Disturbance,2014,5
Continued Enrollment the Following Year,Gifted without Disability,2014,3
Continued Enrollment the Following Year,Intellectual Disability,2014,4
Continued Enrollment the Following Year,Other Health Impairment,2014,8
Continued Enrollment the Following Year,Specific Learning Disability,2014,60
Continued Enrollment the Following Year,Speech or Language Impairment,2014,1
Continued Enrollment the Following Year,Visual Impairment including Blindness,2014,0
Continued Enrollment the Following Year,Orthopedic Impairment,2014,0
Left at the End of the Year,None,2014,65
Left at the End of the Year,Autism,2014,0
Left at the End of the Year,Emotional Disturbance,2014,2
Left at the End of the Year,Gifted without Disability,2014,0
Left at the End of the Year,Intellectual Disability,2014,1
Left at the End of the Year,Other Health Impairment,2014,0
Left at the End of the Year,Specific Learning Disability,2014,8
Left at the End of the Year,Speech or Language Impairment,2014,0
Left at the End of the Year,Visual Impairment including Blindness,2014,0
Left at the End of the Year,Orthopedic Impairment,2014,0
Graduated,None,2014,189
Graduated,Autism,2014,0
Graduated,Emotional Disturbance,2014,0
Graduated,Gifted without Disability,2014,0
Graduated,Intellectual Disability,2014,0
Graduated,Other Health Impairment,2014,0
Graduated,Specific Learning Disability,2014,3
Graduated,Speech or Language Impairment,2014,0
Graduated,Visual Impairment including Blindness,2014,0
Graduated,Orthopedic Impairment,2014,0
Left Mid-Year,None,2015,71
Left Mid-Year,Autism,2015,0
Left Mid-Year,Emotional Disturbance,2015,3
Left Mid-Year,Gifted without Disability,2015,0
Left Mid-Year,Intellectual Disability,2015,1
Left Mid-Year,Other Health Impairment,2015,1
Left Mid-Year,Specific Learning Disability,2015,14
Left Mid-Year,Speech or Language Impairment,2015,0
Left Mid-Year,Visual Impairment including Blindness,2015,0
Left Mid-Year,Orthopedic Impairment,2015,0
Enrolled Mid-Year,None,2015,49
Enrolled Mid-Year,Autism,2015,0
Enrolled Mid-Year,Emotional Disturbance,2015,2
Enrolled Mid-Year,Gifted without Disability,2015,0
Enrolled Mid-Year,Intellectual Disability,2015,0
Enrolled Mid-Year,Other Health Impairment,2015,1
Enrolled Mid-Year,Specific Learning Disability,2015,5
Enrolled Mid-Year,Speech or Language Impairment,2015,0
Enrolled Mid-Year,Visual Impairment including Blindness,2015,0
Enrolled Mid-Year,Orthopedic Impairment,2015,0
Continued Enrollment the Following Year,None,2015,226
Continued Enrollment the Following Year,Autism,2015,1
Continued Enrollment the Following Year,Emotional Disturbance,2015,5
Continued Enrollment the Following Year,Gifted without Disability,2015,3
Continued Enrollment the Following Year,Intellectual Disability,2015,3
Continued Enrollment the Following Year,Other Health Impairment,2015,6
Continued Enrollment the Following Year,Specific Learning Disability,2015,35
Continued Enrollment the Following Year,Speech or Language Impairment,2015,0
Continued Enrollment the Following Year,Visual Impairment including Blindness,2015,0
Continued Enrollment the Following Year,Orthopedic Impairment,2015,0
Left at the End of the Year,None,2015,36
Left at the End of the Year,Autism,2015,0
Left at the End of the Year,Emotional Disturbance,2015,1
Left at the End of the Year,Gifted without Disability,2015,0
Left at the End of the Year,Intellectual Disability,2015,1
Left at the End of the Year,Other Health Impairment,2015,1
Left at the End of the Year,Specific Learning Disability,2015,4
Left at the End of the Year,Speech or Language Impairment,2015,0
Left at the End of the Year,Visual Impairment including Blindness,2015,0
Left at the End of the Year,Orthopedic Impairment,2015,0
Graduated,None,2015,168
Graduated,Autism,2015,0
Graduated,Emotional Disturbance,2015,1
Graduated,Gifted without Disability,2015,2
Graduated,Intellectual Disability,2015,0
Graduated,Other Health Impairment,2015,3
Graduated,Specific Learning Disability,2015,29
Graduated,Speech or Language Impairment,2015,1
Graduated,Visual Impairment including Blindness,2015,0
Graduated,Orthopedic Impairment,2015,0
Left Mid-Year,None,2016,69
Left Mid-Year,Autism,2016,0
Left Mid-Year,Emotional Disturbance,2016,6
Left Mid-Year,Gifted without Disability,2016,1
Left Mid-Year,Intellectual Disability,2016,0
Left Mid-Year,Other Health Impairment,2016,3
Left Mid-Year,Specific Learning Disability,2016,18
Left Mid-Year,Speech or Language Impairment,2016,1
Left Mid-Year,Visual Impairment including Blindness,2016,0
Left Mid-Year,Orthopedic Impairment,2016,1
Enrolled Mid-Year,None,2016,43
Enrolled Mid-Year,Autism,2016,0
Enrolled Mid-Year,Emotional Disturbance,2016,3
Enrolled Mid-Year,Gifted without Disability,2016,0
Enrolled Mid-Year,Intellectual Disability,2016,1
Enrolled Mid-Year,Other Health Impairment,2016,2
Enrolled Mid-Year,Specific Learning Disability,2016,5
Enrolled Mid-Year,Speech or Language Impairment,2016,1
Enrolled Mid-Year,Visual Impairment including Blindness,2016,0
Enrolled Mid-Year,Orthopedic Impairment,2016,1
Graduated,None,2016,166
Graduated,Autism,2016,0
Graduated,Emotional Disturbance,2016,4
Graduated,Gifted without Disability,2016,6
Graduated,Intellectual Disability,2016,0
Graduated,Other Health Impairment,2016,2
Graduated,Specific Learning Disability,2016,24
Graduated,Speech or Language Impairment,2016,5
Graduated,Visual Impairment including Blindness,2016,0
Graduated,Orthopedic Impairment,2016,0
