id,demo,1 RAY-ELMWOOD,21ST CENTURY,ACHIEVEMENT,ACT ACADEMY,AGORA CYBER,ARCHITEC DESIGN,ASPIRA OLNEY,BARTRAM H.S.,BOYS LATIN,BUILDING 21,COMM CNCL ACD,COMMUNITY ACDMY,DOBBINS H.S.,EDISON H.S.,EL CENTRO,ESPERANZA CYBER,EXCEL NORTH,EXCEL SOUTH,F.L.C.,FELS H.S.,FRANKFORD H.S.,FRANKLIN EOP,FRANKLIN H.S.,FREIRE CHARTER,FURNESS H.S.,H WILLIAMS CHRT,H.S. OF FUTURE,HILL-FREEDMAN,IMHOTEP,KENSINGTON HLTH,KENSINGTON HS,KING H.S.,KIPP DUBOIS,LANKENAU H.S.,LINCOLN H.S.,MASTBAUM H.S.,MASTERY SHOEMKR,MASTERY@GRATZ,MASTERY@PICKETT,MASTERY-LENFEST,"MATH, CIVICS AND SCIENCES",MOTIVATION H.S.,NE HIGH EOP,NORTHEAST H.S.,OIC CADI,OMBUDSMAN ACCEL,OVERBROOK H.S.,PA LEADERSHIP,PA VIRTUAL,PARKWAY C.C.,PARKWAY N.W.,PARKWAY WEST,PENNYPACK,PETCS,PHILA JUV JUSTC,PHILA OIC WORKF,PHILA VIRTUAL,PHL ACDMY-NORTH,PHL ACDMY-SOUTH,RANDOLPH H.S.,ROBESON H.S.,ROXBOROUGH H.S.,SANKOFA FREEDOM,SAYRE H.S.,SLA @ BEEBER,SOUTH PHILA EOP,SOUTH PHILA HS,STRAWBERRY MANS,TECH FREIRE,THE LINC,THE U SCHOOL,UNIVR.AUDENRIED,UNKNOWN,VISIONQUEST LTD,WASHINGTON H.S.,WEST PHILA H.S.,YES PHILLY
1,ASPIRA OLNEY,,,,,,3,9,,,1,,,,,,,1,1,,,2,1,1,,,,,,,,,1,,,5,,,5,,,,1,,4,,,1,1,1,,1,,,1,,,2,1,,1,,3,1,,,,,,3,,1,,7,,,,
2,BARTRAM H.S.,,,,,,,1,2,,1,,,,,,,,,1,,,,1,1,,1,,1,,,,,1,,1,,,2,,1,,1,,,,,,,,,,1,,2,,,,,,,,1,,,,,1,,1,1,,,6,,1,1,
3,EDISON H.S.,,,,,,1,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
4,FELS H.S.,1,,,1,,1,7,,,2,,,2,2,,1,,,1,8,,,,,,,,,1,,,1,,,7,,,7,1,,1,1,1,2,,,,,,,1,,,1,2,,1,,,,,,,1,1,2,,,,,1,,11,,1,,
5,FRANKFORD H.S.,,,,,,1,,,,,,,,,,,,,,2,1,,,,,,,,1,,,,,,3,,,6,,,,,,1,,,,,,,,,,1,1,,,,,,,1,,,,,,1,,,,,2,,1,,
6,FRANKLIN H.S.,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,2,,,,
7,KENSINGTON H.S.,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
8,KING H.S.,,,,2,2,,9,,1,3,1,1,6,1,,,,2,,6,,,2,,,,,,2,,,25,,2,2,,,29,2,,2,,,1,1,1,,1,,,5,,,1,2,2,2,,,4,1,7,1,1,1,,,1,4,,3,1,27,,,1,
9,LINCOLN H.S.,,,1,,,1,,,,,,,1,,,,,,,1,,,,,,,2,3,,,,,,,,,,1,,,,,,2,1,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,4,,1,,
10,MASTERY @ GRATZ,1,,,,,1,2,,,,,,,,,,1,,,2,,,,,,,,,,,,1,,,1,1,,6,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,3,,8,1,,,
11,OVERBROOK H.S.,1,,,,,2,2,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,1,,1,9,,2,2,,,,1,,5,,,,,,,1,1,,1,,,1,,1,,2,,,,,,,,,4,,,,2
12,PENN TREATY H.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ROXBOROUGH H.S.,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
14,SAYRE H.S.,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,1,,,,,,,,,1,,,2,,1,2,1,,,5,,,,,2,,,,1,,,,
15,SOUTH PHILA HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,
16,STRAWBERRY MANS,,,,,1,1,,,,,,,2,,1,,,,,1,,,2,1,,,2,,,,,,,,1,,,16,1,,1,,,,,2,1,,,1,,,,,,,2,,,2,,2,1,,,,,2,1,,,,4,,,,
17,UNIVR.AUDENRIED,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,
18,WEST PHILA H.S.,,,,,,,,1,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,2,
